"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","LATITUDE","LONGITUDE","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP","Clust"
"202601",186186,"S11A","C0039",254,"I","S","R","017","MA","202208",36,1300,"02","J","1","0","1","7","Multi, 2 units",1431.95812391274,1439.54688758327,"Imputed",42.227035,-71.521508,"APT 2","HOPKINTON","GROVE ST","22","MA","01748",8
"202601",186191,"S11A","C0039",461,"I","S","R","017","MA","201110",166,1000,"01","Y","1","0","1","9","Multi, 5-9 units",995.082034283335,947.502444099138,"Collected",42.227959,-71.521742,"APT A","HOPKINTON","GROVE ST","5","MA","01748",8
"202601",186192,"S11A","C0039",472,"I","S","R","017","MA","200801",211,1100,"02","J","1","0","1","8","Multi, 3-4 units",1170.34822545189,1195.16691343857,"Imputed",42.224726,-71.518285,"APT 3","HOPKINTON","MAPLE ST","5","MA","01748",8
"202601",186193,"S11A","C0039",481,"I","S","R","017","MA","202007",61,1350,"02","J","1","0","1","8","Multi, 3-4 units",1407.03232363209,1423.30377417162,"Imputed",42.229083,-71.518855,"APT 1","HOPKINTON","HAYDEN ROWE ST","2","MA","01748",8
"202601",186195,"S11A","C0039",499,"I","S","R","017","MA","",0,1350,"02","J","1","0","1","8","Multi, 3-4 units",1450.58573231262,1447.56273839313,"Imputed",42.225114,-71.51713,"APT C","HOPKINTON","MAPLE ST","1","MA","01748",8
"202601",186364,"S11A","C0053",24,"I","S","R","017","MA","201310",142,2000,"02","J","3","0","1","7","Multi, 2 units",2147.80038844607,2043.33288357063,"Imputed",42.421392,-71.139308,"APT 2","MEDFORD","PITCHER AVE","14","MA","02155",3
"202601",186365,"S11A","C0053",26,"I","S","R","017","MA","202309",23,2835,"01","Y","3","0","1","7","Multi, 2 units",2860.55456768245,2812.97497749825,"Collected",42.421485,-71.139413,"APT 2","MEDFORD","PITCHER AVE","18","MA","02155",3
"202601",186366,"S11A","C0053",31,"I","S","R","017","MA","201606",0,1400,"50","V","2","0","1","7","Multi, 2 units",1492.12895395299,1455.31198079469,"Imputed",42.421672,-71.139624,"","MEDFORD","PITCHER AVE","26","MA","02155",3
"202601",186367,"S11A","C0053",35,"I","S","R","017","MA","202112",44,3500,"02","J","3","1","2","7","Multi, 2 units",3608.16410662737,3460.66616319091,"Imputed",42.421859,-71.139835,"#1","MEDFORD","PITCHER AVE","34","MA","02155",3
"202601",186372,"S11A","C0053",63,"I","S","R","017","MA","201311",141,2000,"03","J","2","1","1","7","Multi, 2 units",2225.55173039614,2198.02367071281,"Imputed",42.421232,-71.139037,"","MEDFORD","PITCHER AVE","5","MA","02155",3
"202601",186382,"S11A","C0053",204,"I","S","R","017","MA","202307",25,2000,"02","J","2","0","1","7","Multi, 2 units",2225.55173039614,2198.02367071281,"Imputed",42.421699,-71.141084,"APT 2","MEDFORD","KILGORE AVE","28","MA","02155",3
"202601",186387,"S11A","C0053",272,"I","S","R","017","MA","202212",32,2400,"01","Y","2","0","1","7","Multi, 2 units",2787.67144272159,2740.07516960197,"Collected",42.420643,-71.141467,"APT 1","MEDFORD","HIGH ST","633","MA","02155",3
"202601",186390,"S11A","C0053",284,"I","S","R","017","MA","201809",83,1800,"02","J","2","0","1","7","Multi, 2 units",1909.14999030548,1982.17976463181,"Imputed",42.421097,-71.138718,"APT 1","MEDFORD","HIGH ST","585","MA","02155",3
"202601",186393,"S11A","C0053",300,"I","S","R","017","MA","200301",0,1900,"02","J","2","0","1","7","Multi, 2 units",2114.27414387635,2085.67956458951,"Imputed",42.422139,-71.141825,"","MEDFORD","MYSTIC VALLEY PKWY","1516","MA","02155",3
"202601",186604,"S11A","C0075",3,"I","S","R","017","MA","202201",43,2250,"02","J","2","1","1","11","Multi, 20-49 units",2362.99041050521,2316.36886533273,"Imputed",42.466579,-71.242302,"APT 103","LEXINGTON","BEDFORD ST","314","MA","02420",4
"202601",186842,"S11A","C0091",19,"I","S","R","017","MA","202105",51,3000,"50","W","3","0","2","1","Single Detached",3347.90119327565,3123.28311607135,"Imputed",42.359343,-71.23687,"","WEST NEWTON","ADAMS AVE","57","MA","02465",4
"202601",186845,"S11A","C0091",80,"I","S","R","017","MA","202307",25,3105,"01","Y","4","0","1","7","Multi, 2 units",3094.11891564549,3008.63727826937,"Collected",42.360141,-71.236737,"","WEST NEWTON","UNDERWOOD AVE","37","MA","02465",4
"202601",186849,"S11A","C0091",175,"I","S","R","017","MA","201503",125,3800,"01","Y","3","0","2","1","Single Detached",3787.43425753019,3739.78861097104,"Collected",42.356704,-71.236418,"","WEST NEWTON","WILLIAM ST","21","MA","02465",4
"202601",186853,"S11A","C0091",300,"I","S","R","017","MA","202208",36,4500,"01","Y","3","1","2","1","Single Detached",4553.61607401345,4553.63646987959,"Collected",42.357971,-71.232451,"","WEST NEWTON","ADAMS AVE","164","MA","02465",4
"202601",187163,"S11A","C0110",252,"I","S","R","021","MA","202501",7,610,"02","J","3","1","2","12","Multi, 50 units",3249.82436861101,3181.1393375502,"Imputed",42.173696,-71.21893,"","NORWOOD","VILLAGE RD E","301","MA","02062",4
"202601",187168,"S11A","C0110",488,"I","S","R","021","MA","202402",18,2176,"02","J","1","0","1","12","Multi, 50 units",2154.13823064517,2090.10229208392,"Imputed",42.172321,-71.220617,"APT 203","NORWOOD","ENGAMORE LN","301","MA","02062",4
"202601",187171,"S11A","C0110",620,"I","S","R","021","MA","",0,2150,"02","J","1","0","1","12","Multi, 50 units",2254.09221233486,2270.45516841998,"Imputed",42.172686,-71.221366,"APT 105","NORWOOD","BUCKMINSTER DR","150","MA","02062",4
"202601",187172,"S11A","C0110",664,"I","S","R","021","MA","202310",22,2122,"02","J","1","0","1","12","Multi, 50 units",2130.00720982012,2066.68861267411,"Imputed",42.171787,-71.221155,"APT 203","NORWOOD","BUCKMINSTER DR","250","MA","02062",4
"202601",187176,"S11A","C0110",839,"I","S","R","021","MA","202203",41,2379,"02","J","1","0","1","12","Multi, 50 units",2339.51763390941,2269.97093289613,"Imputed",42.174035,-71.223151,"APT 204","NORWOOD","LANSDOWNE WAY","600","MA","02062",4
"202601",187235,"S11A","C0117",109,"I","S","R","021","MA","202405",15,1895,"02","J","2","0","2","8","Multi, 3-4 units",2018.22029133885,1921.2440835024,"Imputed",42.243384,-71.015163,"","QUINCY","GARFIELD ST","91A","MA","02169",5
"202601",187330,"S11A","C0124",174,"I","S","R","021","MA","202204",40,2200,"01","Y","3","1","1","1","Single Detached",2197.68237432129,2197.68237432129,"Collected",42.101618,-71.389915,"","FRANKLIN","PINE RIDGE DR","92","MA","02038",9
"202601",187356,"S11A","C0124",500,"I","S","R","021","MA","201909",71,2200,"02","J","2","0","1","7","Multi, 2 units",2229.84788601193,2070.05128563799,"Imputed",42.089382,-71.395273,"2","FRANKLIN","FALES ST","21","MA","02038",9
"202601",187361,"S11A","C0124",536,"I","S","R","021","MA","201605",111,1650,"01","Y","2","0","1","7","Multi, 2 units",1750,1702.19,"Collected",42.089372,-71.396084,"","FRANKLIN","HILLSIDE RD","129","MA","02038",9
"202601",187367,"S11A","C0124",563,"I","S","R","021","MA","201808",84,1050,"01","Y","1","0","1","10","Multi,10-19 units",1048.92019712697,1001.1578138,"Collected",42.088161,-71.392439,"APT 1","FRANKLIN","DEAN AVE","130","MA","02038",9
"202601",187368,"S11A","C0124",565,"I","S","R","021","MA","202307",31,1400,"01","Z","1","0","1","10","Multi,10-19 units",1400,1352.19,"",42.088161,-71.392439,"APT 2","FRANKLIN","DEAN AVE","130","MA","02038",9
"202601",187369,"S11A","C0124",567,"I","S","R","021","MA","202112",44,1350,"01","Y","1","0","1","10","Multi,10-19 units",1350,1302.19,"Collected",42.088161,-71.392439,"APT 4","FRANKLIN","DEAN AVE","130","MA","02038",9
"202601",187378,"S11A","C0124",673,"I","S","R","021","MA","201708",96,1450,"01","Y","1","0","1","2","Single Attached",1748.47247398449,1700.71009065752,"Collected",42.091413,-71.396678,"","FRANKLIN","MOORE AVE","35","MA","02038",9
"202601",187379,"S11A","C0124",675,"I","S","R","021","MA","202012",56,1600,"02","J","2","0","1","7","Multi, 2 units",1704.03824070827,1763.47354647954,"Imputed",42.091643,-71.396748,"APT 1","FRANKLIN","MOORE AVE","43","MA","02038",9
"202601",187498,"S11A","C0134",202,"I","S","R","023","MA","202501",7,2200,"01","Y","2","0","1","7","Multi, 2 units",2200,2200,"Collected",42.100697,-71.022407,"APT 1","BROCKTON","CLEVELAND AVE","14","MA","02301",5
"202601",187503,"S11A","C0134",397,"I","S","R","023","MA","202307",0,2500,"02","J","3","0","1","7","Multi, 2 units",2625.54490056134,2579.0386056682,"Imputed",42.102011,-71.022219,"APT 2","BROCKTON","N MAIN ST","716","MA","02301",5
"202601",187504,"S11A","C0134",429,"I","S","R","023","MA","200407",253,600,"02","K","1","0","1","8","Multi, 3-4 units",638.341160245572,441.132677802533,"Imputed",42.104302,-71.02325,"APT 3","BROCKTON","LIVINGSTON RD","24","MA","02301",5
"202601",187506,"S11A","C0134",506,"I","S","R","023","MA","202410",10,2000,"01","Y","3","0","1","8","Multi, 3-4 units",1995.68311906911,1995.68311906911,"Collected",42.102694,-71.021102,"APT 3","BROCKTON","ENTERPRISE ST","17","MA","02301",5
"202601",187673,"S11A","C0153",37,"I","S","R","025","MA","202206",0,2100,"01","Y","1","0","1","7","Multi, 2 units",2692.41953427778,2644.71911892128,"Collected",42.379531,-71.062902,"1","CHARLESTOWN","MYSTIC ST","18","MA","02129",3
"202601",187687,"S11A","C0153",303,"I","S","R","025","MA","202207",37,3100,"02","J","2","0","2","8","Multi, 3-4 units",3337.73646902444,3113.27273013351,"Imputed",42.377366,-71.064025,"1","CHARLESTOWN","SUMMER ST","12","MA","02129",3
"202601",187827,"S11A","C0175",2,"I","S","R","025","MA","202112",44,1800,"99","J","1","0","1","7","Multi, 2 units",1915.13567740672,1987.85443542677,"Imputed",42.421187,-71.027155,"APT 2","REVERE","SARGENT ST","57","MA","02151",3
"202601",187855,"S11A","C0175",350,"I","S","R","025","MA","202112",44,3500,"01","Y","4","1","2","7","Multi, 2 units",3492.62962074559,3492.62962074559,"Collected",42.417803,-71.022209,"UNIT 2","REVERE","TEDFORD AVE","69","MA","02151",3
"202601",187865,"S11A","C0175",494,"I","S","R","025","MA","201201",163,1900,"01","Y","1","0","1","7","Multi, 2 units",2195.73584786955,2148.02119943009,"Collected",42.417148,-71.021758,"APT 2","REVERE","OAKWOOD AVE","246","MA","02151",3
